DATE,USAGE
21:25:20,0
21:25:21,0
21:25:22,0
21:25:23,0
21:25:24,1.139
21:25:25,0
21:25:26,3.686
21:25:27,0
21:25:28,0
21:25:29,0.212
21:25:30,0
21:25:31,1.159
21:25:32,0
21:25:33,0
21:25:34,0
21:25:35,0
21:25:36,0.162
21:25:37,0
21:25:38,1.105
21:25:39,0.642
21:25:40,0.586
21:25:41,0
21:25:42,0
21:25:43,0
21:25:44,0
21:25:45,0
21:25:46,0
21:25:47,0
21:25:48,0
21:25:49,0
21:25:50,0
21:25:51,0
21:25:52,0
21:25:53,0
21:25:54,0
21:25:55,0
21:25:56,0
21:25:57,0
21:25:58,0
21:25:59,0
21:26:00,0
21:26:01,0
21:26:02,0.913
21:26:03,0
21:26:04,0
21:26:06,0.13
21:26:07,1.048
21:26:08,0.196
21:26:09,1.976
21:26:10,1.05
21:26:11,3.066
21:26:12,0.326
21:26:13,1.046
21:26:14,0.394
21:26:15,0
21:26:16,0.98
21:26:17,1.764
21:26:18,0.654
21:26:19,0.98
21:26:20,1.764
